Hour,Occupancy/Capacity Sum,Occupancy/Capacity Avrg
6.11,1.64746159806738,0.000511952019287564
6.12,1.39743005641903,0.000434254212684596
6.13,0.374083324886257,0.000116247148814872
6.14,0.374648133398298,0.000116422664200838
6.15,0.666650614528239,0.000207163025024313
6.16,0.878305255716816,0.00027293513229236
6.17,1.15798374732474,0.000359845788478789
6.18,1.74263510852815,0.000541527379903093
6.19,4.18896808011372,0.00130173029214224
6.2,5.41844793613888,0.00168379364081382
6.21,3.19446745526857,0.000992687214191601
6.22,3.54115217068479,0.00110042018977153
6.23,2.78579683974031,0.000865691994947269
6.24,2.49556732021357,0.000775502585523174
6.25,1.48399274603222,0.000461153743328845
6.26,1.57942581570112,0.000490809762492581
6.27,1.06243936264353,0.000330155177950134
6.28,0.806390013386002,0.000250587325477316
6.29,0.62354989421896,0.000193769389129571
6.3,0.946090809958433,0.000293999630192179
6.31,0.710104902654074,0.000220666532832217
6.32,0.761344791320294,0.000236589431734087
6.33,0.887694408312545,0.000275852830426521
6.34,3.05760087490258,0.000950155647887688
6.35,5.15660718305629,0.00160242609790438
6.36,3.62997421500913,0.00112802181945591
6.37,2.36968276983054,0.000736383707218939
6.38,3.37659121659639,0.00104928254089385
6.39,1.93533696324697,0.000601409870493153
6.4,1.68837078588324,0.000524664632033324
6.41,1.02149313098298,0.000317431053754811
6.42,1.72059520582013,0.000534678435618438
6.43,1.13050601259764,0.000351307026910392
6.44,0.717726223804678,0.000223034873773983
6.45,0.723183844659418,0.000224730840478377
6.46,1.23663816726834,0.000384287808349392
6.47,0.899824513534859,0.000279622285125811
6.48,0.79216187440134,0.000246165902548583
6.49,4.49105585408927,0.00139560467808865
6.5,7.4840768817443,0.00232569200800009
6.51,5.13637249677227,0.00159613812826982
6.52,2.96540955557354,0.000921507009190039
6.53,1.74608565932686,0.000542599645533518
6.54,2.41472499996568,0.000750380671213698
6.55,1.89015056813053,0.000587368106939257
6.56,1.97581333516529,0.000613987984824514
6.57,1.19600873461154,0.00037166213008438
6.58,1.26060752204347,0.000391736333761178
6.59,1.04979948717558,0.000326227311117335
7,1.54495854845877,0.000480098989576996
7.01,0.630963996870232,0.000196073336504112
7.02,1.40293010891861,0.000435963365108331
7.03,1.59852550588682,0.000496745029797023
7.04,4.06996976155301,0.0012647513242862
7.05,6.59707622215752,0.0020500547613914
7.06,6.13306549631514,0.00190586249108612
7.07,5.70701775640231,0.00177346729533944
7.08,4.74477790180844,0.00147444931690753
7.09,3.94078181828995,0.00122460590997202
7.1,4.16128086361061,0.00129312643368882
7.11,3.24907749592216,0.00100965739463088
7.12,2.61315759804757,0.000812044001879296
7.13,2.03654259893782,0.000632859726208149
7.14,1.07331191450906,0.000333533845403687
7.15,1.03620500049333,0.000322002796921481
7.16,2.03943867145633,0.000633759686593018
7.17,1.2719723470851,0.00039526797609854
7.18,2.05985226906734,0.000640103253283821
7.19,4.50668118071764,0.00140046027989983
7.2,6.56043215775988,0.00203866754436292
7.21,5.61016213382361,0.00174336921498558
7.22,4.85475936056567,0.00150862627736658
7.23,2.85941049014823,0.000888567585502868
7.24,2.43921218419343,0.000757990113173845
7.25,1.93261740765034,0.000600564763098304
7.26,2.58898190975157,0.000804531357909127
7.27,1.97987831006937,0.000615251183986751
7.28,1.37932858209893,0.000428629142976671
7.29,0.981738756908151,0.000305077301711669
7.3,1.51913795243718,0.000472075187208571
7.31,1.33095574265527,0.000413597185411831
7.32,0.8047177602589,0.000250067669440305
7.33,0.96371710666353,0.000299477037496436
7.34,5.58172095284896,0.00173453106054971
7.35,8.45828162273017,0.00262842809904604
7.36,5.41632660615503,0.00168313443323649
7.37,4.03645850518796,0.00125433763368178
7.38,2.98079422181174,0.000926287825298864
7.39,2.45170355109249,0.000761871830668892
7.4,3.02738999779608,0.000940767556804252
7.41,2.26285877487744,0.000703187935014742
7.42,2.1345325360424,0.000663310297092107
7.43,1.18270181513465,0.000367526977978449
7.44,0.540906366059767,0.000168087745823421
7.45,0.64348500510546,0.000199964265104245
7.46,0.900172034030679,0.000279730277821839
7.47,1.72772061036293,0.000536892669472632
7.48,1.10864995163859,0.00034451521182057
7.49,4.58359223087255,0.00142436054408718
7.5,6.75789818365872,0.00210003051077027
7.51,6.89258253667529,0.00214188394551749
7.52,4.53592962111294,0.00140954929183124
7.53,4.01637094968337,0.00124809538523411
7.54,2.23614523893721,0.000694886649762962
7.55,2.77108549483069,0.000861120414801335
7.56,2.94153451324628,0.000914087791561926
7.57,1.29303746982427,0.000401814005538929
7.58,1.37959295919739,0.00042871129869403
7.59,0.999870717999774,0.000310711845245424
8,0.855619791425368,0.000265885578441693
8.01,0.639293253791342,0.000198661669916514
8.02,0.501699714773677,0.000155904199743218
8.03,0.770911556257588,0.000239562323262147
8.04,5.51918921330929,0.00171509919618064
8.05,7.29446186884045,0.00226676875973911
8.06,6.54715756412707,0.00203454243757833
8.07,5.16302525069019,0.00160442052538539
8.08,4.37095737947304,0.00135828383451617
8.09,3.39886389680896,0.00105620382125822
8.1,3.56643056350579,0.00110827550140018
8.11,2.14934933592029,0.000667914647582441
8.12,1.59265636693057,0.000494921183011363
8.13,0.730413463916384,0.000226977459265501
8.14,0.699627305999132,0.000217410598508121
8.15,0.878171790676887,0.000272893657761618
8.16,0.69062389670377,0.000214612770883707
8.17,0.374015828329689,0.000116226174123583
8.18,2.36150708543744,0.000733843096779814
8.19,4.30084877124621,0.00133649744289814
8.2,6.89065346320521,0.00214128448204015
8.21,4.9420425970848,0.00153574971941728
8.22,3.24624500807057,0.00100877719330969
8.23,2.96292958045641,0.000920736351913116
8.24,2.56133355533796,0.000795939575928516
8.25,1.44619871943667,0.00044940917322457
8.26,1.97403518243839,0.000613435420272961
8.27,1.59217219497332,0.000494770725597675
8.28,1.08678677464414,0.000337721185408372
8.29,1.58597704600845,0.000492845570543335
8.3,1.36241066703795,0.000423371866699177
8.31,1.09378169129424,0.000339894869886338
8.32,1.28586870034426,0.000399586295942903
8.33,1.0965619895627,0.000340758853189155
8.34,5.61037549045687,0.00174343551599033
8.35,8.13894207631018,0.00252919268996587
8.36,7.10379452611156,0.0022075184978594
8.37,6.90316544874916,0.00214517260682075
8.38,6.02390326030501,0.00187194010575047
8.39,4.18724182198469,0.00130119385394179
8.4,2.42503289279219,0.000753583869730326
8.41,2.28734950073891,0.000710798477544721
8.42,1.15004843664597,0.000357379874656921
8.43,0.973461113872251,0.00030250500741835
8.44,0.679808770146974,0.000211251948460837
8.45,1.85346252201272,0.000575967222502399
8.46,1.39804555901694,0.000434445481360143
8.47,1.14141621551456,0.000354697394504214
8.48,1.17754233080408,0.000365923657801145
8.49,5.05763854666532,0.00157167139424031
8.5,8.78874152149081,0.00273111918007794
8.51,7.3939600686885,0.00229768802631712
8.52,6.35220588516635,0.0019739608095607
8.53,3.74165651233973,0.00116272731893715
8.54,2.39085671350607,0.000742963552985106
8.55,2.84998221505759,0.00088563772997439
8.56,3.18572625532962,0.000989970868654326
8.57,3.09629311231188,0.00096217933881662
8.58,1.23229186259848,0.000382937185394183
8.59,0.650003077850054,0.000201989769375405
9,0.963486574428924,0.000299405399138882
9.01,0.835235881849759,0.000259551237367856
9.02,0.95690781449354,0.000297361036200603
9.03,1.59612237874808,0.000495998253184612
9.04,6.80318723706714,0.00211410417559575
9.05,7.35337638640854,0.00228507656507413
9.06,6.46353882907785,0.0020085577467613
9.07,5.19916100161367,0.00161564978297504
9.08,5.31890953430056,0.00165286188138613
9.09,3.8539601021384,0.00119762588630777
9.1,3.70145225310307,0.00115023376417124
9.11,4.16728374512536,0.00129499184124467
9.12,1.89015492986285,0.000587369462356387
9.13,0.641075271702791,0.000199215435581974
9.14,0.742632456891343,0.000230774536013469
9.15,0.917423218493378,0.000285091118239086
9.16,1.23765620727489,0.000384604166337754
9.17,1.67612891130839,0.000520860444781973
9.18,1.43298350334949,0.000445302518132223
9.19,6.67172056693516,0.00207325064230428
9.2,9.53978635634002,0.00296450787953388
9.21,6.63951365878535,0.00206324228054237
9.22,5.05704424810883,0.00157148671476346
9.23,4.23070120062116,0.00131469894363616
9.24,3.78173361038636,0.00117518135810639
9.25,2.83937807213353,0.000882342471141556
9.26,3.45360072752607,0.00107321340196584
9.27,1.70200613154174,0.000528901843238577
9.28,0.590891060386087,0.000183620590548815
9.29,0.536635821036611,0.000166760665331452
9.3,1.14359003607786,0.000355372913635132
9.31,1.52083758213221,0.000472603350569364
9.32,1.42655045845625,0.000443303436437617
9.33,1.06112638461965,0.000329747167377144
9.34,6.38779546161882,0.00198502034233027
9.35,8.93650255003812,0.00277703621815976
9.36,8.91209999031947,0.00276945307343675
9.37,7.89819634692738,0.00245438046828073
9.38,6.74457771078389,0.00209589114691855
9.39,4.0546652938018,0.00125999543001921
9.4,4.62245623498486,0.00143643761186602
9.41,2.70333197221374,0.000840065870793581
9.42,2.19161987198725,0.000681050302047002
9.43,1.09601468871046,0.000340588778343835
9.44,1.70198819291184,0.000528896268773101
9.45,0.788320598791614,0.000244972218393914
9.46,0.811803370925871,0.000252269537267207
9.47,2.05576767651149,0.000638833957896672
